date,no2,o3,co,so2,pm10,pm25,코막힘,인후염,기관지염,알레르기비염,호흡기질환,감기약,비염약,기침약,콧물약,알레르기약
2023-04-10,0.023536,0.04163,0.43163265306122445,0.00315,46.28,17.56,24.39228,98.44928,77.95473,61.31601,11.73512,27.26956,35.30434,21.6,12.3826,17.00869
2023-04-11,0.017572,0.03641,0.3566,0.002740816326530612,30.244910099077355,19.4,26.27829,85.28918,66.13579,64.62699,10.31014,25.25217,30.43478,19.37391,10.81739,17.94782
2023-04-12,0.021782,0.027648000000000002,0.348,0.0026729166666666668,31.262628533251103,30.8,21.79379,86.71416,71.58424,55.40653,9.89103,24.52173,29.32173,20.10434,9.87826,16.62608
2023-04-13,0.032237999999999996,0.020984,0.46340000000000003,0.00345,31.262628533251103,27.52,24.47611,84.6186,70.99748,52.76613,10.51969,20.90434,33.3913,21.21739,11.51304,14.43478
2023-04-14,0.030518,0.031032,0.48,0.003522448979591837,31.262628533251103,20.02,22.75775,80.34367,67.35121,53.93964,8.84325,20.86956,30.71304,18.60869,11.37391,16.24347
2023-04-15,0.021766,0.030514,0.45208333333333334,0.0026666666666666666,59.1,20.9,20.03352,65.33948,58.08885,41.40821,6.99916,18.92173,23.54782,17.73913,9.3913,13.53043
2023-04-16,0.014814,0.040018367346938775,0.42,0.0025104166666666664,31.262628533251103,31.163265306122447,19.69823,54.86169,50.0,36.08549,6.70578,17.11304,19.30434,17.21739,7.61739,11.47826
2023-04-17,0.023468,0.039108000000000004,0.4458,0.00316875,31.262628533251103,28.92,23.42833,97.15004,83.98994,50.88013,9.89103,24.97391,29.3913,20.48695,10.64347,16.55652
2023-04-18,0.020474000000000003,0.031856,0.4692,0.002482,42.52,17.26,28.2062,90.94719,71.54233,48.07208,7.75356,22.92173,26.50434,22.33043,10.88695,13.94782
2023-04-19,0.021722,0.038746,0.4714285714285715,0.002656,36.62,17.96,24.76948,83.8642,69.02766,49.91617,8.54987,21.63478,28.55652,19.16521,10.88695,14.50434
2023-04-20,0.018066,0.031786,0.4156521739130435,0.002428,23.72,12.96,24.47611,85.54065,70.07544,56.70578,8.50796,20.8,30.64347,19.54782,9.53043,15.96521
